Date,AAPL,JPM,MSFT,SPY
2021-11-18,154.4817657470703,146.1394805908203,329.4549865722656,442.7711181640625
2021-11-19,157.10426330566406,144.2303924560547,331.2313537597656,441.97943115234375
2021-11-22,157.56414794921875,147.3046875,328.0649108886719,440.735107421875
2021-11-23,157.94578552246094,150.82708740234375,325.98931884765625,441.319580078125
2021-11-24,158.4644012451172,149.6439666748047,326.2113952636719,442.4978332519531
2021-11-26,153.4445037841797,145.1356658935547,318.2662658691406,432.6286315917969
2021-11-29,156.80093383789062,144.5082550048828,324.9756774902344,437.9355773925781
2021-11-30,161.75233459472656,142.357177734375,319.144775390625,429.4144287109375
2021-12-01,161.23367309570312,141.51466369628906,318.6524353027344,424.644775390625
2021-12-02,160.24534606933594,144.49034118652344,318.08282470703125,431.1487731933594
2021-12-03,158.3665313720703,141.87319946289062,311.8272399902344,427.397216796875
2021-12-06,161.77186584472656,143.5492401123047,314.8971862792969,432.4590148925781
2021-12-07,167.506103515625,145.7093048095703,323.3248596191406,441.4043273925781
2021-12-08,171.32240295410156,144.04217529296875,323.3731994628906,442.5732116699219
2021-12-09,170.81353759765625,143.81813049316406,321.5679626464844,439.5851135253906
2021-12-10,175.59860229492188,143.24449157714844,330.6811218261719,443.7232360839844
2021-12-13,171.9682159423828,141.5415496826172,327.6497497558594,439.7925109863281
2021-12-14,170.58851623535156,142.62603759765625,316.9726867675781,436.7667236328125
2021-12-15,175.45181274414062,141.55947875976562,323.0643005371094,443.59124755859375
2021-12-16,168.56292724609375,143.77330017089844,313.65179443359375,439.6794738769531
2021-12-17,167.46694946289062,140.50180053710938,312.58990478515625,434.9999084472656
2021-12-20,166.10678100585938,137.97433471679688,308.8345947265625,430.3744201660156
2021-12-21,169.27723693847656,139.90133666992188,315.9590148925781,438.0174560546875
2021-12-22,171.8704071044922,140.44805908203125,321.6644592285156,442.39703369140625
2021-12-23,172.4966583251953,140.94998168945312,323.10284423828125,445.14971923828125
2021-12-27,176.45973205566406,141.75665283203125,330.5942687988281,451.4494934082031
2021-12-28,175.4420166015625,142.18687438964844,329.43572998046875,451.08056640625
2021-12-29,175.53012084960938,142.1151580810547,330.1114807128906,451.6576232910156
2021-12-30,174.3754425048828,142.04347229003906,327.57257080078125,450.40899658203125
2021-12-31,173.75897216796875,141.9269256591797,324.6763916015625,449.27386474609375
2022-01-03,178.1036376953125,144.9295196533203,323.1607971191406,451.8751220703125
2022-01-04,175.84326171875,150.42376708984375,317.61944580078125,451.7237854003906
2022-01-05,171.1658477783203,147.67372131347656,305.4267883300781,443.0497131347656
2022-01-06,168.30848693847656,149.2425994873047,303.0133056640625,442.6334533691406
2022-01-07,168.47486877441406,150.7213134765625,303.1678161621094,440.883544921875
2022-01-10,168.49441528320312,150.8655548095703,303.3898010253906,440.3349304199219
2022-01-11,171.32240295410156,151.0188446044922,304.0752258300781,444.34564208984375
2022-01-12,171.76275634765625,151.8754119873047,307.2513732910156,445.5469055175781
2022-01-13,168.49441528320312,151.68605041503906,294.24761962890625,439.4078674316406
2022-01-14,169.35552978515625,142.36293029785156,299.4607849121094,439.58770751953125
2022-01-18,166.15576171875,136.39395141601562,292.17205810546875,431.8027038574219
